lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
lat=-90.0, lng=-180.0, key=7-0-1
